metric,estimate,ci_95_lower,ci_95_upper,valid_bootstraps
accuracy,0.8982300884955752,0.8584070796460177,0.9380530973451328,5000
balanced_accuracy,0.8982300884955752,0.8581750930509335,0.9374624359805607,5000
precision,0.9166666666666666,0.8608695652173913,0.9646017699115044,5000
recall,0.8761061946902655,0.8108056920556921,0.9333333333333333,5000
specificity,0.9203539823008849,0.8661399746906637,0.9658119658119658,5000
f1,0.8959276018099548,0.8504672897196262,0.9357798165137615,5000
roc_auc,0.9618607565196962,0.9367515708898475,0.9821428571428571,5000
average_precision,0.9672486368310946,0.9453494403239608,0.984374631442916,5000
mcc,0.7972410051791009,0.7167982116973658,0.8752885645349073,5000
